1, 1, 147, 28, 106, 174, 1, 1, 1
1, 3, 124, 0, 95, 144, 1, 1, 1
1, 2, 232, 31, 83, 182, 1, 1, 1
1, 4, 231, 4, 68, 150, 1, 1, 1
1, 5, 204, 1, 68, 131, 1, 1, 1
1, 6, 308, 3, 51, 124, 1, 1, 1
1, 8, 328, 0, 48, 105, 1, 1, 1
2, 1, 145, 30, 107, 173, 1, 1, 1
2, 3, 125, 0, 94, 144, 1, 1, 1
2, 2, 233, 32, 82, 181, 1, 1, 1
2, 4, 232, 1, 68, 154, 1, 1, 1
2, 5, 205, 0, 68, 131, 1, 1, 1
2, 6, 308, 4, 51, 123, 1, 1, 1
2, 8, 329, 0, 48, 104, 1, 1, 1
3, 1, 142, 30, 109, 174, 1, 1, 1
3, 3, 124, 0, 95, 146, 1, 1, 1
3, 2, 232, 31, 83, 182, 1, 1, 1
3, 4, 233, 3, 68, 152, 1, 1, 1
3, 5, 205, 0, 69, 132, 1, 1, 1
3, 6, 308, 5, 51, 122, 1, 1, 1
3, 8, 330, 0, 48, 105, 1, 1, 1
4, 1, 142, 30, 109, 174, 1, 1, 1
4, 3, 124, 0, 95, 146, 1, 1, 1
4, 2, 233, 32, 82, 181, 1, 1, 1
4, 4, 235, 1, 67, 154, 1, 1, 1
4, 6, 308, 2, 51, 124, 1, 1, 1
4, 8, 331, 0, 48, 105, 1, 1, 1
4, 5, 206, 0, 69, 132, 1, 1, 1
5, 1, 139, 29, 110, 176, 1, 1, 1
5, 3, 124, 0, 95, 148, 1, 1, 1
5, 2, 233, 33, 82, 180, 1, 1, 1
5, 4, 236, 0, 67, 155, 1, 1, 1
5, 6, 310, 9, 49, 117, 1, 1, 1
5, 8, 331, 0, 48, 105, 1, 1, 1
5, 5, 208, 0, 68, 133, 1, 1, 1
6, 1, 140, 29, 110, 177, 1, 1, 1
6, 3, 123, 0, 96, 148, 1, 1, 1
6, 2, 233, 33, 82, 180, 1, 1, 1
6, 4, 236, 0, 67, 155, 1, 1, 1
6, 6, 310, 4, 50, 121, 1, 1, 1
6, 8, 332, 0, 49, 106, 1, 1, 1
6, 5, 209, 0, 68, 132, 1, 1, 1
7, 1, 140, 29, 110, 177, 1, 1, 1
7, 3, 122, 0, 97, 149, 1, 1, 1
7, 2, 233, 33, 82, 180, 1, 1, 1
7, 4, 239, 2, 67, 153, 1, 1, 1
7, 6, 309, 2, 51, 123, 1, 1, 1
7, 8, 333, 0, 49, 106, 1, 1, 1
7, 5, 210, 0, 68, 133, 1, 1, 1
8, 1, 138, 31, 112, 177, 1, 1, 1
8, 3, 123, 0, 97, 150, 1, 1, 1
8, 2, 231, 34, 83, 180, 1, 1, 1
8, 4, 239, 3, 67, 154, 1, 1, 1
8, 6, 309, 2, 51, 123, 1, 1, 1
8, 8, 333, 0, 50, 107, 1, 1, 1
8, 5, 214, 0, 66, 133, 1, 1, 1
9, 1, 138, 31, 112, 177, 1, 1, 1
9, 3, 123, 0, 97, 150, 1, 1, 1
9, 2, 231, 35, 83, 179, 1, 1, 1
9, 4, 238, 2, 68, 155, 1, 1, 1
9, 6, 310, 5, 49, 120, 1, 1, 1
9, 8, 334, 0, 50, 108, 1, 1, 1
9, 5, 215, 0, 66, 134, 1, 1, 1
10, 1, 138, 34, 113, 177, 1, 1, 1
10, 3, 123, 2, 96, 149, 1, 1, 1
10, 2, 231, 34, 83, 180, 1, 1, 1
10, 4, 238, 2, 68, 156, 1, 1, 1
10, 6, 310, 7, 49, 117, 1, 1, 1
10, 8, 335, 0, 51, 108, 1, 1, 1
10, 5, 219, 0, 65, 135, 1, 1, 1
11, 1, 139, 33, 113, 179, 1, 1, 1
11, 3, 122, 1, 97, 150, 1, 1, 1
11, 2, 231, 34, 83, 180, 1, 1, 1
11, 4, 239, 2, 68, 157, 1, 1, 1
11, 6, 310, 5, 49, 120, 1, 1, 1
11, 8, 336, 0, 51, 109, 1, 1, 1
11, 5, 222, 0, 65, 135, 1, 1, 1
12, 1, 139, 36, 114, 179, 1, 1, 1
12, 3, 121, 2, 98, 151, 1, 1, 1
